,result,table,_time,value,name
,_result,0,2026-02-14T03:40:15.5Z,0,LC_1
,_result,0,2026-02-14T03:40:16Z,0,LC_1
,_result,0,2026-02-14T03:40:16.5Z,0.7904761904761904,LC_1
,_result,0,2026-02-14T03:40:17Z,0.23055555555555557,LC_1
,_result,0,2026-02-14T03:40:17.5Z,0.3074074074074074,LC_1
,_result,0,2026-02-14T03:40:18Z,0.16767676767676767,LC_1
,_result,0,2026-02-14T03:40:18.5Z,0.16767676767676767,LC_1
,_result,0,2026-02-14T03:40:19Z,0,LC_1
,_result,0,2026-02-14T03:40:19.5Z,0.3074074074074074,LC_1
,_result,0,2026-02-14T03:40:20Z,0.9222222222222222,LC_1
,_result,0,2026-02-14T03:40:20.5Z,0.16767676767676767,LC_1
,_result,0,2026-02-14T03:40:21Z,0.46111111111111114,LC_1
,_result,0,2026-02-14T03:40:21.5Z,0.7377777777777779,LC_1
,_result,0,2026-02-14T03:40:22Z,0.2634920634920635,LC_1
,_result,0,2026-02-14T03:40:22.5Z,0.36888888888888893,LC_1
,_result,0,2026-02-14T03:40:23Z,0.3074074074074074,LC_1
,_result,0,2026-02-14T03:40:23.5Z,0.3074074074074074,LC_1
,_result,0,2026-02-14T03:40:24Z,0.46111111111111114,LC_1
,_result,0,2026-02-14T03:40:24.5Z,0,LC_1
,_result,0,2026-02-14T03:40:25Z,1.7522222222222221,LC_1
,_result,0,2026-02-14T03:40:25.5Z,2.646376811594203,LC_1
,_result,0,2026-02-14T03:40:26Z,4.4106280193236715,LC_1
,_result,0,2026-02-14T03:40:26.5Z,4.655026455026454,LC_1
,_result,0,2026-02-14T03:40:27Z,6.499470899470897,LC_1
,_result,0,2026-02-14T03:40:27.5Z,8.383838383838382,LC_1
,_result,0,2026-02-14T03:40:28Z,9.990740740740742,LC_1
,_result,0,2026-02-14T03:40:28.5Z,11.628019323671499,LC_1
,_result,0,2026-02-14T03:40:29Z,14.595169082125606,LC_1
,_result,0,2026-02-14T03:40:29.5Z,14.755555555555555,LC_1
,_result,0,2026-02-14T03:40:30Z,15.447222222222223,LC_1
,_result,0,2026-02-14T03:40:30.5Z,17.291666666666668,LC_1
,_result,0,2026-02-14T03:40:31Z,18.07555555555556,LC_1
,_result,0,2026-02-14T03:40:31.5Z,19.937566137566137,LC_1
,_result,0,2026-02-14T03:40:32Z,19.772444444444446,LC_1
,_result,0,2026-02-14T03:40:32.5Z,20.037373737373738,LC_1
,_result,0,2026-02-14T03:40:33Z,20.12850241545894,LC_1
,_result,0,2026-02-14T03:40:33.5Z,19.98148148148148,LC_1
,_result,0,2026-02-14T03:40:34Z,20.5962962962963,LC_1
,_result,0,2026-02-14T03:40:34.5Z,19.88792270531401,LC_1
,_result,0,2026-02-14T03:40:35Z,20.28888888888889,LC_1
,_result,0,2026-02-14T03:40:35.5Z,19.647342995169083,LC_1
,_result,0,2026-02-14T03:40:36Z,19.968115942028987,LC_1
,_result,0,2026-02-14T03:40:36.5Z,20.135185185185186,LC_1
,_result,0,2026-02-14T03:40:37Z,19.86969696969697,LC_1
,_result,0,2026-02-14T03:40:37.5Z,20.288888888888888,LC_1
,_result,0,2026-02-14T03:40:38Z,19.82777777777778,LC_1
,_result,0,2026-02-14T03:40:38.5Z,19.36666666666667,LC_1
,_result,0,2026-02-14T03:40:39Z,19.647342995169083,LC_1
,_result,0,2026-02-14T03:40:39.5Z,19.4984126984127,LC_1
,_result,0,2026-02-14T03:40:40Z,19.212962962962965,LC_1
,_result,0,2026-02-14T03:40:40.5Z,19.246376811594203,LC_1
,_result,0,2026-02-14T03:40:41Z,19.366666666666667,LC_1
,_result,0,2026-02-14T03:40:41.5Z,18.925603864734295,LC_1
,_result,0,2026-02-14T03:40:42Z,19.059259259259264,LC_1
,_result,0,2026-02-14T03:40:42.5Z,18.6048309178744,LC_1
,_result,0,2026-02-14T03:40:43Z,18.739555555555558,LC_1
,_result,0,2026-02-14T03:40:43.5Z,18.592000000000006,LC_1
,_result,0,2026-02-14T03:40:44Z,18.751851851851853,LC_1
,_result,0,2026-02-14T03:40:44.5Z,18.123671497584542,LC_1
,_result,0,2026-02-14T03:40:45Z,18.5212962962963,LC_1
,_result,0,2026-02-14T03:40:45.5Z,18.59814814814815,LC_1
,_result,0,2026-02-14T03:40:46Z,17.90648148148148,LC_1
,_result,0,2026-02-14T03:40:46.5Z,17.90648148148148,LC_1
,_result,0,2026-02-14T03:40:47Z,18.075555555555553,LC_1
,_result,0,2026-02-14T03:40:47.5Z,18.444444444444446,LC_1
,_result,0,2026-02-14T03:40:48Z,17.80289855072464,LC_1
,_result,0,2026-02-14T03:40:48.5Z,18.075555555555557,LC_1
,_result,0,2026-02-14T03:40:49Z,17.675925925925927,LC_1
,_result,0,2026-02-14T03:40:49.5Z,17.04266666666667,LC_1
,_result,0,2026-02-14T03:40:50Z,16.96888888888889,LC_1
,_result,0,2026-02-14T03:40:50.5Z,17.081159420289858,LC_1
